date,event,matched_phrase
2024-10-15,The year 2024 was eventful for India,The year 2024
2025-10-15,"From several major elections, including the mega general election, to India lifting an ICC trophy in cricket after 11 years, the country had moments to remember. In this year-ender, we take a look at 10 big events",this year-ender
